@Username,Tweet,Lokasi
celebdotid,"Film Kiko In The Deep Sea Dapat Apresiasi dari Menparekraf Sandiaga Uno, Anastasia Amelia: Berasa Kayak Mimpi!
#CelebritiesDotID #InfoCelebTerkini 
https://t.co/SuTeeBaCfb",
validnewsid,Pasangan Anies baswedan-Sandiaga Uno berhasil memenangkan pemilihan gubernur Jakarta pada tahun 2017 https://t.co/hMaNhlha2d,"Jakarta Capital Region, Indone"
USSFeeds,"Menurut Sandiaga Uno, upaya harpitnas jadi hari libur nasional adalah upaya untuk menyelamatkan perhotelan #USSFeed https://t.co/BF3RihJ6zZ",
Ini_ajunk,Sandiaga Uno: Banyak Sekali yang Salah Paham soal Pak Prabowo Subianto... - https://t.co/tMf4E35WAj - Nasional https://t.co/tMf4E35WAj https://t.co/fThLhqMknI #IndonesiaKuat #BangkitBersama,jakarta
Ini_ajunk,"GASPOL! Hari ini: Sandiaga Uno di Persimpangan, Loyal kepada Prabowo Subianto atau ""Hijrah"" ke PPP? - https://t.co/tMf4E35WAj - Nasional https://t.co/tMf4E35WAj https://t.co/I09DReS4ev #IndonesiaKuat #BangkitBersama",jakarta
Disuruh_Iben,"GASPOL! Hari ini: Sandiaga Uno di Persimpangan, Loyal kepada Prabowo Subianto atau ""Hijrah"" ke PPP? - https://t.co/jdGJZgaaH0 - Nasional https://t.co/jdGJZgaaH0 https://t.co/arIrM1JIWa #IndonesiaKuat #BangkitBersama",Pulau Impian
alifiarevyjulia,"Kemudian mantan Panglima TNI Andika Perkasa 4,2%, Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) 3,1%, Menparekraf Sandiaga Uno 2,1%, Ketua Umum PKB Muhaimin Iskandar 1,2%. 

- Prabowo Subianto 
#PrabowoPemersatu #BangkitBersama",
Rudimaryonoo,"@RkIndoJuara_ Waktuna urang sunda hudang..
Sauyunan, presiden mimiti ti sunda..
@ridwankamil .. ayo KIB cari wakil yang mantap..
Ada sandiaga uno atau Erick Thohir..
Ridwan Kamil Pembawa perubahan","Cibitung, Indonesia"
jawapos,PKS Tak Tampik Ada Kemungkinan Usung Sandiaga Uno jadi Cawapres https://t.co/fLptNeCWVH,Jakarta
Wawan72079938,"@prastow Ya sapa tau beliau ini sebenarnya pengusaha seperti pak Erick Thohir atau pak Sandiaga Uno , bisa jadi beliau ini jadi PNS itu cuma karena ada merasa terpanggil untuk mengabdi kepada bangsa dan negara .
Positif thinking aja guys",
kompascom,"🔴LIVE GASPOL Spesial - Sandiaga Uno di Persimpangan: Loyalitas ke Prabowo atau ""Hijrah"" ke PPP? (Part 1) https://t.co/U8bQa3ncaB",Jakarta
gadotaja,"""Yang saya kenal, ada Pak Prabowo. Yang saya tahu juga ada Pak Erick Thohir. Yang saya tahu juga ada Pak Sandiaga Uno. #PrabowoPemersatu #IkutPakde Prabowo Subianto","DKI Jakarta, Indonesia"
kompascom,"GASPOL SPESIAL - Sandiaga Uno di Persimpangan: Loyalitas ke Prabowo atau 'Hijrah' ke PPP?

LIVE PREMIERE
📆 22 &amp; 23 Feb 2023
⏰ 19.00 WIB
📍 Youtube, FB, IG, dan Tiktok @kompascom
https://t.co/IEWNpXDMKO

#JernihMelihatDunia #GaspolKompascom #Gaspol #SandiagaUno https://t.co/JAGIdNuzkA",Jakarta
